bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
AJ Tye,24,586,859,36,164,202,97.67,23.86,8.8,16.28,34.47,79.0,29.0,10.0,8.15,7.0,8.38,19.0,9.88,44,30,0,8.799999999999999
AK Markram,14,123,173,2,32,35,20.5,86.5,8.44,61.5,28.46,12.0,8.0,0.0,6.77,2.0,9.03,0.0,6.0,47,30,1,9.4
AL Menaria,11,107,134,3,38,41,17.83,44.67,7.51,35.67,38.32,13.0,4.0,1.0,6.14,2.0,7.68,0.0,11.54,46,30,1,9.200000000000001
AM Nayar,15,168,237,6,48,55,28.0,39.5,8.46,28.0,32.74,15.0,12.0,0.0,10.0,5.0,8.38,1.0,9.0,50,30,1,10.0
AM Rahane,1,6,5,1,2,2,1.0,5.0,5.0,6.0,33.33,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5,6,1,5.0
AM Salvi,7,156,205,7,57,67,26.0,29.29,7.88,22.29,42.95,18.0,7.0,1.0,7.07,4.0,8.28,2.0,8.9,50,30,2,10.0
AN Ahmed,15,320,469,11,102,123,53.33,42.64,8.79,29.09,38.44,38.0,20.0,1.0,8.18,4.0,7.81,6.0,11.19,70,30,1,14.0
AP Dole,3,73,114,5,20,28,12.17,22.8,9.37,14.6,38.36,11.0,4.0,2.0,10.63,2.0,7.55,1.0,11.14,40,30,2,8.0
AR Patel,140,2990,3609,122,977,1061,498.33,29.58,7.24,24.51,35.48,221.0,146.0,17.0,7.74,90.0,7.05,15.0,8.28,51,30,1,10.2
AS Joseph,22,454,707,22,162,191,75.67,32.14,9.34,20.64,42.07,53.0,43.0,2.0,9.66,11.0,8.89,9.0,10.08,64,30,1,12.8
AS Rajpoot,27,532,793,22,184,232,88.67,36.05,8.94,24.18,43.61,85.0,30.0,8.0,8.77,6.0,7.78,8.0,11.38,66,30,0,13.200000000000001
AS Raut,5,30,45,0,6,7,5.0,45.0,9.0,30.0,23.33,4.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,45,30,0,9.0
AS Roy,9,142,191,6,48,54,23.67,31.83,8.07,23.67,38.03,14.0,10.0,1.0,10.71,5.0,6.88,0.0,9.0,57,30,1,11.399999999999999
AU Rashid,3,60,91,2,20,20,10.0,45.5,9.1,30.0,33.33,4.0,7.0,0.0,0.0,2.0,9.1,0.0,0.0,43,30,2,8.6
AUK Pathan,2,27,44,0,6,6,4.5,44.0,9.78,27.0,22.22,4.0,2.0,0.0,0.0,0.0,10.0,0.0,9.33,44,27,0,9.777777777777777
